date,region,price
1990-08-20,U.S. Average,1.191
1990-08-27,U.S. Average,1.245
1990-09-03,U.S. Average,1.242
1990-09-10,U.S. Average,1.252
1990-09-17,U.S. Average,1.266
1990-09-24,U.S. Average,1.272
1990-10-01,U.S. Average,1.321
1990-10-08,U.S. Average,1.333
1990-10-15,U.S. Average,1.339
1990-10-22,U.S. Average,1.345
1990-10-29,U.S. Average,1.339
1990-11-05,U.S. Average,1.334
1990-11-12,U.S. Average,1.328
1990-11-19,U.S. Average,1.323
1990-11-26,U.S. Average,1.311
1990-12-03,U.S. Average,1.341
1991-01-21,U.S. Average,1.192
1991-01-28,U.S. Average,1.168
1991-02-04,U.S. Average,1.139
1991-02-11,U.S. Average,1.106
1991-02-18,U.S. Average,1.078
1991-02-25,U.S. Average,1.054
1991-03-04,U.S. Average,1.025
1991-03-11,U.S. Average,1.045
1991-03-18,U.S. Average,1.043
1991-03-25,U.S. Average,1.047
1991-04-01,U.S. Average,1.052
1991-04-08,U.S. Average,1.066
1991-04-15,U.S. Average,1.069
1991-04-22,U.S. Average,1.09
1991-04-29,U.S. Average,1.104
1991-05-06,U.S. Average,1.113
1991-05-13,U.S. Average,1.121
1991-05-20,U.S. Average,1.129
1991-05-27,U.S. Average,1.14
1991-06-03,U.S. Average,1.138
1991-06-10,U.S. Average,1.135
1991-06-17,U.S. Average,1.126
1991-06-24,U.S. Average,1.114
1991-07-01,U.S. Average,1.104
1991-07-08,U.S. Average,1.098
1991-07-15,U.S. Average,1.094
1991-07-22,U.S. Average,1.091
1991-07-29,U.S. Average,1.091
1991-08-05,U.S. Average,1.099
1991-08-12,U.S. Average,1.112
1991-08-19,U.S. Average,1.124
1991-08-26,U.S. Average,1.124
1991-09-02,U.S. Average,1.127
1991-09-09,U.S. Average,1.12
1991-09-16,U.S. Average,1.11
1991-09-23,U.S. Average,1.097
1991-09-30,U.S. Average,1.092
1991-10-07,U.S. Average,1.089
1991-10-14,U.S. Average,1.084
1991-10-21,U.S. Average,1.088
1991-10-28,U.S. Average,1.091
1991-11-04,U.S. Average,1.091
1991-11-11,U.S. Average,1.102
1991-11-18,U.S. Average,1.104
1991-11-25,U.S. Average,1.099
1991-12-02,U.S. Average,1.099
1991-12-09,U.S. Average,1.091
1991-12-16,U.S. Average,1.075
1991-12-23,U.S. Average,1.063
1991-12-30,U.S. Average,1.053
1992-01-06,U.S. Average,1.042
1992-01-13,U.S. Average,1.026
1992-01-20,U.S. Average,1.014
1992-01-27,U.S. Average,1.006
1992-02-03,U.S. Average,0.995
1992-02-10,U.S. Average,1.004
1992-02-17,U.S. Average,1.011
1992-02-24,U.S. Average,1.014
1992-03-02,U.S. Average,1.012
1992-03-09,U.S. Average,1.013
1992-03-16,U.S. Average,1.01
1992-03-23,U.S. Average,1.015
1992-03-30,U.S. Average,1.013
1992-04-06,U.S. Average,1.026
1992-04-13,U.S. Average,1.051
1992-04-20,U.S. Average,1.058
1992-04-27,U.S. Average,1.072
1992-05-04,U.S. Average,1.089
1992-05-11,East Coast,1.071
1992-05-11,Gulf Coast,1.084
1992-05-11,Midwest,1.103
1992-05-11,Rocky Mountain,1.117
1992-05-11,U.S. Average,1.102
1992-05-11,West Coast,1.189
1992-05-18,East Coast,1.085
1992-05-18,Gulf Coast,1.095
1992-05-18,Midwest,1.118
1992-05-18,Rocky Mountain,1.169
1992-05-18,U.S. Average,1.118
1992-05-18,West Coast,1.208
1992-05-25,East Coast,1.092
1992-05-25,Gulf Coast,1.094
1992-05-25,Midwest,1.117
1992-05-25,Rocky Mountain,1.159
1992-05-25,U.S. Average,1.12
1992-05-25,West Coast,1.218
1992-06-01,East Coast,1.1
1992-06-01,Gulf Coast,1.108
1992-06-01,Midwest,1.122
1992-06-01,Rocky Mountain,1.155
1992-06-01,U.S. Average,1.128
1992-06-01,West Coast,1.228
1992-06-08,East Coast,1.114
1992-06-08,Gulf Coast,1.12
1992-06-08,Midwest,1.137
1992-06-08,Rocky Mountain,1.178
1992-06-08,U.S. Average,1.143
1992-06-08,West Coast,1.246
1992-06-15,East Coast,1.122
1992-06-15,Gulf Coast,1.127
